"","ro","text","sentiment"
"1","1","So there is no way for me to plug it in here in the US unless I go by a converter.","Neg"
"2","2","Good case, Excellent value."," Pos"
"3","3","Great for the jawbone."," Pos"
"4","4","Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!","Neg"
"5","5","The mic is great."," Pos"
"6","6","I have to jiggle the plug to get it to line up right to get decent volume.","Neg"
"7","7","If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.","Neg"
"8","8","If you are Razr owner...you must have this!"," Pos"
"9","9","Needless to say, I wasted my money.","Neg"
"10","10","What a waste of money and time!.","Neg"
"11","11","If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.","Neg"
"12","12","The design is very odd, as the ear ""clip"" is not very comfortable at all.","Neg"
"13","13","I went on Motorola's website and followed all directions, but could not get it to pair again.","Neg"
"14","14","The commercials are the most misleading.","Neg"
"15","15","I bought it for my mother and she had a problem with the battery.","Neg"
"16","16","Great Pocket PC / phone combination."," Pos"
"17","17","I've owned this phone for 7 months now and can say that it's the best mobile phone I've had."," Pos"
"18","18","This is a simple little phone to use, but the breakage is unacceptible.","Neg"
"19","19","This product is ideal for people like me whose ears are very sensitive."," Pos"
"20","20","It is unusable in a moving car at freeway speed.","Neg"
"21","21","I have two more years left in this contract and I hate this phone.","Neg"
"22","22","Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended"," Pos"
"23","23","You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.","Neg"
"24","24","Poor Talk Time Performance.","Neg"
"25","25","It has a great camera thats 2MP, and the pics are nice and clear with great picture quality."," Pos"
"26","26","Nice headset priced right."," Pos"
"27","27","It has all the features I want"," Pos"
"28","28","AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.","Neg"
"29","29","Disappointed with battery.","Neg"
"30","30","good protection and does not make phone too bulky."," Pos"
"31","31","A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget."," Pos"
"32","32","I love this thing!"," Pos"
"33","33","Everything about it is fine and reasonable for the price i.e."," Pos"
"34","34","I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!"," Pos"
"35","35","The buttons for on and off are bad.","Neg"
"36","36","Essentially you can forget Microsoft's tech support.","Neg"
"37","37","I really recommend this faceplates since it looks very nice, elegant and cool."," Pos"
"38","38","Buy a different phone - but not this.","Neg"
"39","39","You have to hold the phone at a particular angle for the other party to hear you clearly.","Neg"
"40","40","The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.","Neg"
"41","41","A week later after I activated it, it suddenly died.","Neg"
"42","42","It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes."," Pos"
"43","43","This device is great in several situations:1.)"," Pos"
"44","44","Mic Doesn't work.","Neg"
"45","45","Great choice!"," Pos"
"46","46","Nice docking station for home or work."," Pos"
"47","47","Love this product."," Pos"
"48","48","This is a great little item."," Pos"
"49","49","I love this phone , It is very handy and has a lot of features ."," Pos"
"50","50","I wear it everyday and it holds up very well."," Pos"
"51","51","Not a good bargain.","Neg"
"52","52","Well packaged, arrived on time, and works as intended."," Pos"
"53","53","The battery runs down quickly.","Neg"
"54","54","This item worked great, but it broke after 6 months of use.","Neg"
"55","55","The headsets are easy to use and everyone loves them."," Pos"
"56","56","This phone works great."," Pos"
"57","57","For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.","Neg"
"58","58","Made very sturdy."," Pos"
"59","59","Worked great!."," Pos"
"60","60","The ear buds only play music in one ear.","Neg"
"61","61","Will order from them again!"," Pos"
"62","62","If you plan to use this in a car forget about it.","Neg"
"63","63","I found this product to be waaay too big.","Neg"
"64","64","Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using."," Pos"
"65","65","Buyer Beware, you could flush money right down the toilet.","Neg"
"66","66","Definitely a bargain."," Pos"
